Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
08/15/2021,30107,33,Wheatland County,MT,28.3,602,602,33,599,35.8,319,59,95.6,657,30.9,657,36,649,38.8,332,61.4,Mod-High,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI
08/15/2021,38091,33,Steele County,ND,38.7,732,732,45.6,712,48.3,303,63.7,95.1,859,45.4,858,53.4,821,55.7,347,72.9,Low,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI
08/15/2021,45089,33,Williamsburg County,SC,41.9,12715,12713,48,12423,51.4,4729,71.6,93.7,15116,49.8,15109,57.1,14577,60.3,5165,78.2,High,Mod-High VC/High SVI,Mod-High VC/High SVI,High VC/High SVI,High VC/High SVI
08/15/2021,39129,33,Pickaway County,OH,40.1,23457,23456,46.4,22643,49.2,7381,79,97.6,24434,41.8,24431,48.4,23398,50.8,7558,80.9,Low-Mod,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI
08/15/2021,29155,33,Pemiscot County,MO,18.9,2989,2989,22.9,2956,25.1,1064,38.2,90.9,4488,28.4,4479,34.3,4407,37.4,1702,61.2,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
08/15/2021,22001,33,Acadia Parish,LA,34.7,21519,21517,41.7,21072,45.8,8114,82.8,96.1,27754,44.7,27752,53.8,26674,57.9,8934,91.2,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,High VC/High SVI
08/15/2021,17129,33,Menard County,IL,44.3,5402,5396,51.2,5159,53.9,1905,78,97.7,6420,52.6,6409,60.8,6062,63.4,2128,87.1,Low,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
08/15/2021,30079,33,Prairie County,MT,31.3,337,337,36.2,332,37.9,194,53.7,95.6,360,33.4,360,38.7,350,39.9,205,56.8,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
08/15/2021,35043,33,Sandoval County,NM,55.8,81941,81940,65.3,74729,66,22231,82.1,83.1,84554,57.6,,0,,0,,0,Low-Mod,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
08/15/2021,16043,33,Fremont County,ID,32.4,4243,,,4243,43,1600,70,97.7,4735,36.1,,,4735,48,1700,74.4,Mod-High,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI
08/15/2021,47139,33,Polk County,TN,32,5387,5387,36.4,5335,39.2,2416,66.2,97.8,6075,36.1,6074,41,5984,43.9,2578,70.6,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
